Código,Nome,Cota (m),Afluência (m³/s),Defluência (m³/s),Vazão Vertida (m³/s),Vazão Turbinada (m³/s),Vazão Natural (m³/s),Volume Útil (%),Vazão Incremental (m³/s),Data da Medição
19069,MACHADINHO,,166.66,166.66,,,168.93,,,01/01/1993
19069,MACHADINHO,,159.86,159.86,,,162.11,,,02/01/1993
19069,MACHADINHO,,153.84,153.84,,,156.06,,,03/01/1993
19069,MACHADINHO,,166.68,166.68,,,168.87,,,04/01/1993
19069,MACHADINHO,,207.86,207.86,,,210.03,,,05/01/1993
19069,MACHADINHO,,324.26,324.26,,,326.41,,,06/01/1993
19069,MACHADINHO,,386.47,386.47,,,388.59,,,07/01/1993
19069,MACHADINHO,,354.74,354.74,,,356.84,,,08/01/1993
19069,MACHADINHO,,344.36,344.36,,,346.44,,,09/01/1993
19069,MACHADINHO,,346.97,346.97,,,349.02,,,10/01/1993
19069,MACHADINHO,,380.44,380.44,,,382.48,,,11/01/1993
19069,MACHADINHO,,422.53,422.53,,,424.54,,,12/01/1993
19069,MACHADINHO,,418.14,418.14,,,420.12,,,13/01/1993
19069,MACHADINHO,,394.58,394.58,,,396.54,,,14/01/1993
19069,MACHADINHO,,370.79,370.79,,,372.73,,,15/01/1993
19069,MACHADINHO,,382.07,382.07,,,384,,,16/01/1993
19069,MACHADINHO,,481.58,481.58,,,483.51,,,17/01/1993
19069,MACHADINHO,,834.75,834.75,,,836.66,,,18/01/1993
19069,MACHADINHO,,931.23,931.23,,,933.14,,,19/01/1993
19069,MACHADINHO,,713.47,713.47,,,715.36,,,20/01/1993
19069,MACHADINHO,,513.9,513.9,,,515.79,,,21/01/1993
19069,MACHADINHO,,403.96,403.96,,,405.84,,,22/01/1993
19069,MACHADINHO,,317.84,317.84,,,319.71,,,23/01/1993
19069,MACHADINHO,,262.11,262.11,,,263.98,,,24/01/1993
19069,MACHADINHO,,246.14,246.14,,,247.99,,,25/01/1993
19069,MACHADINHO,,229.86,229.86,,,231.71,,,26/01/1993
19069,MACHADINHO,,290.81,290.81,,,292.65,,,27/01/1993
19069,MACHADINHO,,387.5,387.5,,,389.33,,,28/01/1993
19069,MACHADINHO,,375.11,375.11,,,376.93,,,29/01/1993
19069,MACHADINHO,,523.18,523.18,,,524.99,,,30/01/1993
19069,MACHADINHO,,726.17,726.17,,,727.97,,,31/01/1993
19069,MACHADINHO,,788.2,788.2,,,789.99,,,01/02/1993
19069,MACHADINHO,,905.92,905.92,,,907.71,,,02/02/1993
19069,MACHADINHO,,939.55,939.55,,,941.33,,,03/02/1993
19069,MACHADINHO,,908.39,908.39,,,910.16,,,04/02/1993
19069,MACHADINHO,,802.86,802.86,,,804.62,,,05/02/1993
19069,MACHADINHO,,720.53,720.53,,,722.28,,,06/02/1993
19069,MACHADINHO,,680.19,680.19,,,681.94,,,07/02/1993
19069,MACHADINHO,,647.57,647.57,,,649.3,,,08/02/1993
19069,MACHADINHO,,584.87,584.87,,,586.6,,,09/02/1993
19069,MACHADINHO,,480.23,480.23,,,481.95,,,10/02/1993
19069,MACHADINHO,,456.57,456.57,,,458.28,,,11/02/1993
19069,MACHADINHO,,421.53,421.53,,,423.23,,,12/02/1993
19069,MACHADINHO,,388.74,388.74,,,390.43,,,13/02/1993
19069,MACHADINHO,,402.7,402.7,,,404.38,,,14/02/1993
19069,MACHADINHO,,434.15,434.15,,,435.83,,,15/02/1993
19069,MACHADINHO,,470.11,470.11,,,471.78,,,16/02/1993
19069,MACHADINHO,,558.95,558.95,,,560.61,,,17/02/1993
19069,MACHADINHO,,632,632,,,633.65,,,18/02/1993
19069,MACHADINHO,,761.47,761.47,,,763.12,,,19/02/1993
19069,MACHADINHO,,763.85,763.85,,,765.49,,,20/02/1993
19069,MACHADINHO,,808.75,808.75,,,810.38,,,21/02/1993
19069,MACHADINHO,,929,929,,,930.62,,,22/02/1993
19069,MACHADINHO,,850.95,850.95,,,852.56,,,23/02/1993
19069,MACHADINHO,,713.31,713.31,,,714.91,,,24/02/1993
19069,MACHADINHO,,654.7,654.7,,,656.29,,,25/02/1993
19069,MACHADINHO,,592.82,592.82,,,594.41,,,26/02/1993
19069,MACHADINHO,,557.15,557.15,,,558.73,,,27/02/1993
19069,MACHADINHO,,529.79,529.79,,,531.36,,,28/02/1993
19069,MACHADINHO,,518.01,518.01,,,519.57,,,01/03/1993
19069,MACHADINHO,,491.96,491.96,,,493.52,,,02/03/1993
19069,MACHADINHO,,490.91,490.91,,,492.46,,,03/03/1993
19069,MACHADINHO,,501.45,501.45,,,502.99,,,04/03/1993
19069,MACHADINHO,,524.6,524.6,,,526.13,,,05/03/1993
19069,MACHADINHO,,535.65,535.65,,,537.17,,,06/03/1993
19069,MACHADINHO,,549.68,549.68,,,551.2,,,07/03/1993
19069,MACHADINHO,,595.77,595.77,,,597.28,,,08/03/1993
19069,MACHADINHO,,743.18,743.18,,,744.67,,,09/03/1993
19069,MACHADINHO,,834.51,834.51,,,836,,,10/03/1993
19069,MACHADINHO,,836.16,836.16,,,837.65,,,11/03/1993
19069,MACHADINHO,,854.49,854.49,,,855.97,,,12/03/1993
19069,MACHADINHO,,784.59,784.59,,,786.05,,,13/03/1993
19069,MACHADINHO,,784.35,784.35,,,785.81,,,14/03/1993
19069,MACHADINHO,,711.05,711.05,,,712.5,,,15/03/1993
19069,MACHADINHO,,658.44,658.44,,,659.89,,,16/03/1993
19069,MACHADINHO,,626.09,626.09,,,627.53,,,17/03/1993
19069,MACHADINHO,,587.87,587.87,,,589.31,,,18/03/1993
19069,MACHADINHO,,563.05,563.05,,,564.48,,,19/03/1993
19069,MACHADINHO,,546.96,546.96,,,548.38,,,20/03/1993
19069,MACHADINHO,,546.64,546.64,,,548.05,,,21/03/1993
19069,MACHADINHO,,527.88,527.88,,,529.29,,,22/03/1993
19069,MACHADINHO,,495.62,495.62,,,497.02,,,23/03/1993
19069,MACHADINHO,,444.02,444.02,,,445.41,,,24/03/1993
19069,MACHADINHO,,410.12,410.12,,,411.51,,,25/03/1993
19069,MACHADINHO,,405.77,405.77,,,407.16,,,26/03/1993
19069,MACHADINHO,,427.75,427.75,,,429.13,,,27/03/1993
19069,MACHADINHO,,480.47,480.47,,,481.84,,,28/03/1993
19069,MACHADINHO,,469.44,469.44,,,470.81,,,29/03/1993
19069,MACHADINHO,,468.33,468.33,,,469.69,,,30/03/1993
19069,MACHADINHO,,446.47,446.47,,,447.83,,,31/03/1993
19069,MACHADINHO,,466.7,466.7,,,468.05,,,01/04/1993
19069,MACHADINHO,,467.22,467.22,,,468.57,,,02/04/1993
19069,MACHADINHO,,519.13,519.13,,,520.47,,,03/04/1993
19069,MACHADINHO,,480.27,480.27,,,481.61,,,04/04/1993
19069,MACHADINHO,,453.54,453.54,,,454.86,,,05/04/1993
19069,MACHADINHO,,425.4,425.4,,,426.72,,,06/04/1993
19069,MACHADINHO,,374.1,374.1,,,375.41,,,07/04/1993
19069,MACHADINHO,,354.9,354.9,,,356.21,,,08/04/1993
19069,MACHADINHO,,378.2,378.2,,,379.5,,,09/04/1993
19069,MACHADINHO,,472.11,472.11,,,473.41,,,10/04/1993
19069,MACHADINHO,,458.02,458.02,,,459.31,,,11/04/1993
19069,MACHADINHO,,379.58,379.58,,,380.87,,,12/04/1993
