Código,Nome,Cota (m),Afluência (m³/s),Defluência (m³/s),Vazão Vertida (m³/s),Vazão Turbinada (m³/s),Vazão Natural (m³/s),Volume Útil (%),Vazão Incremental (m³/s),Data da Medição
19069,MACHADINHO,473.16,198.24,305,0,305,397.26,51.45,44.9,01/01/2023
19069,MACHADINHO,473.29,412.76,306,0,306,370.14,52.33,58.91,02/01/2023
19069,MACHADINHO,473.36,360.48,303,0,303,358.99,52.8,61.04,03/01/2023
19069,MACHADINHO,473.39,327.64,303,0,303,359.88,53,58.78,04/01/2023
19069,MACHADINHO,473.29,220.88,303,0,303,339.4,52.33,48.14,05/01/2023
19069,MACHADINHO,473.18,215.66,306,0,306,331.43,51.59,40.38,06/01/2023
19069,MACHADINHO,472.99,149.98,306,0,306,315.59,50.31,36.73,07/01/2023
19069,MACHADINHO,472.84,182.82,306,0,306,292.67,49.3,34.94,08/01/2023
19069,MACHADINHO,472.78,256.73,306,0,306,270.12,48.9,36.34,09/01/2023
19069,MACHADINHO,472.71,248.52,306,0,306,233.87,48.43,34.68,10/01/2023
19069,MACHADINHO,472.68,281.36,306,0,306,202.02,48.23,25.8,11/01/2023
19069,MACHADINHO,472.64,273.15,306,0,306,197.97,47.96,31.13,12/01/2023
19069,MACHADINHO,472.57,248.52,306,0,306,209.3,47.49,35.95,13/01/2023
19069,MACHADINHO,472.34,117.12,306,0,306,223.86,45.94,36.17,14/01/2023
19069,MACHADINHO,472.15,152.98,309,0,309,240.37,44.66,34.61,15/01/2023
19069,MACHADINHO,472.05,226.88,309,0,309,325.72,43.99,39.57,16/01/2023
19069,MACHADINHO,471.82,124.86,309,0,309,508.79,42.49,38.15,17/01/2023
19069,MACHADINHO,471.75,253.36,309,0,309,631.67,42.03,27.43,18/01/2023
19069,MACHADINHO,471.95,467.97,309,0,309,747.47,43.33,20.18,19/01/2023
19069,MACHADINHO,472,345.56,309,0,309,869.01,43.63,14.92,20/01/2023
19069,MACHADINHO,472.17,451.79,309,0,309,770.55,44.8,8.79,21/01/2023
19069,MACHADINHO,472.28,390.32,300,0,300,701.66,45.54,15.05,22/01/2023
19069,MACHADINHO,472.47,463.03,307,0,307,628.96,46.82,17.15,23/01/2023
19069,MACHADINHO,472.59,403.54,305,0,305,610.42,47.62,34.97,24/01/2023
19069,MACHADINHO,472.74,428.17,305,0,305,660.14,48.63,40.12,25/01/2023
19069,MACHADINHO,472.92,452.81,305,0,305,626.52,49.84,34.07,26/01/2023
19069,MACHADINHO,473.03,395.34,305,0,305,550.77,50.58,31.87,27/01/2023
19069,MACHADINHO,473.05,324.71,305,0,305,477.01,50.74,21.21,28/01/2023
19069,MACHADINHO,473.09,334.56,305,0,305,430.17,50.98,23.05,29/01/2023
19069,MACHADINHO,473.15,352.63,305,0,305,485.93,51.37,27.25,30/01/2023
19069,MACHADINHO,473.22,364.12,305,0,305,571.98,51.86,39.14,31/01/2023
19069,MACHADINHO,473.38,438.03,305,0,305,536.56,52.94,37.4,01/02/2023
19069,MACHADINHO,473.56,444.89,302,0,302,493.46,54.11,45.79,02/02/2023
19069,MACHADINHO,473.65,375.91,302,0,302,447.53,54.72,39.32,03/02/2023
19069,MACHADINHO,473.59,253.73,303,0,303,431.82,54.31,36.79,04/02/2023
